,variety
95,Versicolor
88,Versicolor
0,Setosa
46,Setosa
11,Setosa
106,Virginica
85,Versicolor
1,Setosa
51,Versicolor
130,Virginica
55,Versicolor
134,Virginica
37,Setosa
65,Versicolor
56,Versicolor
2,Setosa
5,Setosa
49,Setosa
113,Virginica
44,Setosa
132,Virginica
148,Virginica
31,Setosa
100,Virginica
62,Versicolor
64,Versicolor
66,Versicolor
41,Setosa
39,Setosa
80,Versicolor
97,Versicolor
92,Versicolor
69,Versicolor
86,Versicolor
54,Versicolor
96,Versicolor
23,Setosa
68,Versicolor
87,Versicolor
9,Setosa
38,Setosa
84,Versicolor
53,Versicolor
91,Versicolor
19,Setosa
48,Setosa
115,Virginica
36,Setosa
30,Setosa
60,Versicolor
138,Virginica
142,Virginica
121,Virginica
103,Virginica
128,Virginica
102,Virginica
82,Versicolor
116,Virginica
135,Virginica
109,Virginica
8,Setosa
112,Virginica
27,Setosa
4,Setosa
14,Setosa
145,Virginica
52,Versicolor
70,Versicolor
139,Virginica
123,Virginica
94,Versicolor
42,Setosa
127,Virginica
33,Setosa
93,Versicolor
117,Virginica
24,Setosa
78,Versicolor
63,Versicolor
126,Virginica
45,Setosa
29,Setosa
125,Virginica
144,Virginica
59,Versicolor
90,Versicolor
79,Versicolor
124,Virginica
140,Virginica
43,Setosa
120,Virginica
17,Setosa
77,Versicolor
3,Setosa
18,Setosa
146,Virginica
136,Virginica
107,Virginica
10,Setosa
32,Setosa
110,Virginica
83,Versicolor
61,Versicolor
131,Virginica
25,Setosa
141,Virginica
6,Setosa
7,Setosa
101,Virginica
105,Virginica
16,Setosa
26,Setosa
40,Setosa
118,Virginica
71,Versicolor
22,Setosa
75,Versicolor
137,Virginica
15,Setosa
99,Versicolor
